algorithm,instance,run,memory,code,time,iterations,graph,nodes,edges,modularity,N,clusters,conductance,cut
infomap,cond-mat,5,56828,0,0.4861,0,cond-mat.graph,16726,95188,0.815827949,7392017450,782,0.00261222,0.00000087
hollocou,cond-mat,1,4096,0,0.002,0,cond-mat.graph,16726,95188,0.489489468,4435144316,2180,0.26326184,0.00003651
hollocou,cond-mat,2,4096,0,0.001,0,cond-mat.graph,16726,95188,0.489604016,4436182208,2151,0.25778680,0.00003512
hollocou,cond-mat,3,4096,0,0.002,0,cond-mat.graph,16726,95188,0.472122329,4277784924,2063,0.25305345,0.00003430
hollocou,cond-mat,4,4096,0,0.002,0,cond-mat.graph,16726,95188,0.488577767,4426883616,2085,0.25479919,0.00003399
hollocou,cond-mat,5,4096,0,0.002,0,cond-mat.graph,16726,95188,0.478072547,4331698386,2178,0.26070845,0.00003689
gnns,cond-mat,1,8240416,0,141.0997679233551,150,cond-mat.graph,16726,95188,0.792278337,7178640184,129,0.09092674,0.00002952
gnns,cond-mat,2,8240416,0,142.78107357025146,150,cond-mat.graph,16726,95188,0.791129617,7168231914,129,0.08928431,0.00003029
gnns,cond-mat,3,8240416,0,143.0656852722168,150,cond-mat.graph,16726,95188,0.789079946,7149660344,129,0.08842960,0.00002994
gnns,cond-mat,4,8240416,0,140.2722909450531,150,cond-mat.graph,16726,95188,0.784056842,7104147222,129,0.09414759,0.00003173
gnns,cond-mat,5,8240416,0,141.35916996002197,150,cond-mat.graph,16726,95188,0.785888682,7120745080,129,0.09391676,0.00003220
dmon,cond-mat,1,2826072,0,212.5719,1000,cond-mat.graph,16726,95188,0.704155562,6380181278,16,0.11144126,0.00003172
dmon,cond-mat,2,2826072,0,212.0885,1000,cond-mat.graph,16726,95188,0.733238022,6643690328,16,0.08419593,0.00002644
dmon,cond-mat,3,2826072,0,212.6027,1000,cond-mat.graph,16726,95188,0.737582878,6683058010,16,0.08835406,0.00002808
dmon,cond-mat,4,2826072,0,211.6959,1000,cond-mat.graph,16726,95188,0.734088500,6651396300,16,0.09015034,0.00002497
dmon,cond-mat,5,2826072,0,213.2394,1000,cond-mat.graph,16726,95188,0.740807608,6712276496,16,0.08255866,0.00002448
dgcluster,cond-mat,1,831852,0,96.64796996116638,300,cond-mat.graph,16726,95188,0.000000000,0,1,0.00000000,0.00000000
dgcluster,cond-mat,2,831852,0,102.56615972518921,300,cond-mat.graph,16726,95188,0.000000000,0,1,0.00000000,0.00000000
dgcluster,cond-mat,3,831852,0,102.15121150016785,300,cond-mat.graph,16726,95188,0.000000000,0,1,0.00000000,0.00000000
dgcluster,cond-mat,4,831852,0,102.50892496109009,300,cond-mat.graph,16726,95188,0.000000000,0,1,0.00000000,0.00000000
dgcluster,cond-mat,5,831852,0,103.54177212715149,300,cond-mat.graph,16726,95188,0.000000000,0,1,0.00000000,0.00000000
commdgi,cond-mat,1,9463100,0,3605.3277,541,cond-mat.graph,16726,95188,0.570618186,5170231784,9,0.17437009,0.00001754
commdgi,cond-mat,2,9463100,0,3606.3335,541,cond-mat.graph,16726,95188,0.511605976,4635536582,6,0.08291764,0.00001644
commdgi,cond-mat,3,9463100,0,3600.7555,540,cond-mat.graph,16726,95188,0.491426788,4452697904,7,0.03433526,0.00000803
commdgi,cond-mat,4,9463100,0,3605.4964,539,cond-mat.graph,16726,95188,0.489705609,4437102716,8,0.04909285,0.00001055
commdgi,cond-mat,5,9463100,0,3601.4113,542,cond-mat.graph,16726,95188,0.487073039,4413249648,9,0.12792213,0.00001406
clustre_fast,cond-mat,1,6144,0,0.015177,0,cond-mat.graph,16726,95188,0.745672468,6756355800,1377,0.05483148,0.00001330
clustre_fast,cond-mat,2,6144,0,0.0151441,0,cond-mat.graph,16726,95188,0.745672468,6756355800,1377,0.05483148,0.00001330
clustre_fast,cond-mat,3,6144,0,0.015656,0,cond-mat.graph,16726,95188,0.745672468,6756355800,1377,0.05483148,0.00001330
clustre_fast,cond-mat,4,6144,0,0.0153499,0,cond-mat.graph,16726,95188,0.745672468,6756355800,1377,0.05483148,0.00001330
clustre_fast,cond-mat,5,6144,0,0.0152609,0,cond-mat.graph,16726,95188,0.745672468,6756355800,1377,0.05483148,0.00001330
clustre_strong,cond-mat,1,22528,0,429.3663161,0,cond-mat.graph,16726,95188,0.818379830,7415139426,781,0.00262723,0.00000100
clustre_strong,cond-mat,2,22528,0,213.6321712,0,cond-mat.graph,16726,95188,0.818379830,7415139426,781,0.00262723,0.00000100
clustre_strong,cond-mat,3,22528,0,562.6282937,0,cond-mat.graph,16726,95188,0.818379830,7415139426,781,0.00262723,0.00000100
clustre_strong,cond-mat,4,22528,0,401.5820677,0,cond-mat.graph,16726,95188,0.818379830,7415139426,781,0.00262723,0.00000100
clustre_strong,cond-mat,5,22528,0,107.2991185,0,cond-mat.graph,16726,95188,0.818683778,7417893418,782,0.00269758,0.00000102
walktrap,cond-mat-2003,1,1442040,0,31.7740,0,cond-mat-2003.graph,31163,240058,0.645852591,37219091952,3174,0.09328664,0.00001138
walktrap,cond-mat-2003,2,1442040,0,31.8398,0,cond-mat-2003.graph,31163,240058,0.645852591,37219091952,3174,0.09328664,0.00001138
walktrap,cond-mat-2003,3,1442040,0,31.7551,0,cond-mat-2003.graph,31163,240058,0.645852591,37219091952,3174,0.09328664,0.00001138
walktrap,cond-mat-2003,4,1442040,0,31.7107,0,cond-mat-2003.graph,31163,240058,0.645852591,37219091952,3174,0.09328664,0.00001138
walktrap,cond-mat-2003,5,1442040,0,31.6931,0,cond-mat-2003.graph,31163,240058,0.645852591,37219091952,3174,0.09328664,0.00001138
vieclus,cond-mat-2003,1,79036,0,3371.35,0,cond-mat-2003.graph,31163,240058,0.781811826,45054129460,965,0.00282328,0.00000076
vieclus,cond-mat-2003,2,79164,0,3481.19,0,cond-mat-2003.graph,31163,240058,0.781813003,45054197310,968,0.00284385,0.00000077
vieclus,cond-mat-2003,3,77316,0,3055.23,0,cond-mat-2003.graph,31163,240058,0.781776665,45052103252,970,0.00288178,0.00000077
vieclus,cond-mat-2003,4,78088,0,3556.95,0,cond-mat-2003.graph,31163,240058,0.781875498,45057798778,969,0.00281647,0.00000076
vieclus,cond-mat-2003,5,77620,0,3227.23,0,cond-mat-2003.graph,31163,240058,0.781783494,45052496784,970,0.00290019,0.00000078
ucode,cond-mat-2003,1,16281856,0,3605.5096220970154,583,cond-mat-2003.graph,31163,240058,0.000000000,0,1,0.00000000,0.00000000
ucode,cond-mat-2003,2,16281856,0,3603.2741572856903,576,cond-mat-2003.graph,31163,240058,0.000000000,0,1,0.00000000,0.00000000
ucode,cond-mat-2003,3,16281856,0,3604.7945148944855,567,cond-mat-2003.graph,31163,240058,0.000000000,0,1,0.00000000,0.00000000
ucode,cond-mat-2003,4,16281856,0,3603.4113233089447,564,cond-mat-2003.graph,31163,240058,0.000000000,0,1,0.00000000,0.00000000
ucode,cond-mat-2003,5,16281856,0,3606.466246366501,558,cond-mat-2003.graph,31163,240058,0.000320860,18490470,2,0.48588091,0.00004015
magi,cond-mat-2003,1,3324744,0,3603.7149391174316,90,cond-mat-2003.graph,31163,240058,0.065206574,3757714234,5,0.35087502,0.00009871
